trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,13,-4.625938832240688,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.751805729140895}",25,0,-120.47555652632744,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,14,-2.810961053262316,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-57.20775666048312,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,0,-137.95897237213717,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,3,-130.6975038638518,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 2}",1
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",35,15,-31.37955222609277,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",25,0,-105.30424691578624,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",20,0,-47.665697778181574,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",20,0,-78.44987563204691,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",20,9,-78.2601019791118,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",30,15,-49.981544849905525,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",25,9,-34.562613349442174,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",20,4,-6.493435033056258,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,15,9.921288282543937,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",30,18,-3.035866349518831,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,9,-27.609865159061396,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,12,-87.25157190112957,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 2}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",30,0,-17.049746883720317,"{0: 23, 1: 5, 2: 2, 3: 0, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",20,0,-152.8824522797742,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-28.909271497262253,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,6,-34.56586218045059,"{0: 10, 1: 2, 2: 0, 3: 2, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,10,3.647069036079592,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",25,4,-36.460001447010754,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,9,-73.83577493508677,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,8,-42.20924388123803,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,5,-35.362684422440054,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,15,3.137375657646359,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",20,0,-88.69178125898401,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,0,-19.622419725139387,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,12,0.03884932146459108,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",30,0,-117.08406211956543,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,3,-9.798373696141155,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",30,10,-29.26118377357753,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",20,0,1.0548344340096016,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",25,5,-40.64624178134195,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",25,3,-48.36454707868799,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,2,-28.08726924742889,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,14,13.875297505196855,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",30,12,-1.1226103664559144,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",25,0,-54.60687513947191,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",25,4,21.84298819721787,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,8,-62.83299636156549,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,5,-11.271625607224415,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,5,-10.320568412085786,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,3,-74.17635370452886,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 2}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,0,-43.89827563019077,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,11,2.4173014157531356,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,1,12.159136497355263,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,12,18.194475677486075,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",25,6,-62.7745795845226,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 1}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,15,7.965679653372495,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,0,-88.8088691524269,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,5,-52.920830484319794,"{0: 10, 1: 0, 2: 3, 3: 2, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,5,-53.88013703622992,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",1
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",20,9,19.908339767535224,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",25,0,-33.08477059356311,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",30,17,0.1716504012572484,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,8,-45.19440017876578,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",25,14,-33.5007659422528,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",35,16,19.71086237107214,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",25,11,11.79451215096258,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,13,18.32460717701867,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,7,-53.88169323197661,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,14,10.486487904368015,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,0,10.719940628608793,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,2,3.6616109938709673,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,5,-8.575960332145844,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299934}",20,15,8.975700902712987,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,13,15.03621276296727,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",35,23,-5.192945261778758,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,9,19.92986679563202,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.1403316058467367}",20,13,8.430462821940699,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,8,-22.862438782246173,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.01, 'e': 0.1205027693673666}",25,14,18.70412432338555,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006957}",25,18,11.681991003603635,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693172}",20,16,5.625181613980214,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430967}",20,15,6.360626191412154,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480062}",25,15,9.563416903119439,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",25,17,15.729345318908026,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,9,6.512801141466338,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",25,7,17.13756829895912,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,0,28.931584842401794,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,5,27.0882453950734,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,10.024502020628958,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,17,11.83395729666588,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,16,7.517445869793834,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,16,7.437216457011881,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,14,32.100992096713796,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,12,13.034240546565853,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,13,13.203458518701444,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,19.15561940281101,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,8,21.67609022835477,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
